ZIP,Population,Proportion of Population,Energy Surplus per ZIP Code,EVs Supported by Surplus
10034,38908.0,0.011493176554132513,23425292.494021032,3904215.415670172
13152,7941.0,0.0023457210603569007,4781028.263982241,796838.0439970401
14092,11086.0,0.0032747341235507617,6674534.609558887,1112422.4349264812
14905,9070.0,0.002679220503392153,5460763.928260788,910127.3213767981
13308,3625.0,0.0010708020203744823,2182499.364933336,363749.89415555605
10004,3089.0,0.0009124710181894555,1859790.4933183657,309965.0822197276
12166,1363.0,0.00040262155966080536,820619.7612149344,136769.96020248908
12759,1649.0,0.0004871041466475921,992811.4352482955,165468.5725413826
11368,109931.0,0.03247292052463096,66186024.18937561,11031004.031562602
10913,5532.0,0.0016341177315066582,3330644.5480858525,555107.4246809754
14131,5283.0,0.0015605647099692112,3180729.41929457,530121.5698824284
11771,10007.0,0.0029560043635551573,6024902.38479666,1004150.3974661101
12514,2938.0,0.0008678665754097184,1768878.1059790736,294813.0176631789
13731,1162.0,0.0003432474338414203,699603.9343593204,116600.6557265534
10524,4421.0,0.0013059353743656791,2661746.1220331807,443624.3536721968
11776,24235.0,0.007158865369317402,14591137.133561214,2431856.188926869
13026,1914.0,0.0005653834667577267,1152359.6646848016,192059.9441141336
12513,651.0,0.00019230127317621738,391946.7825025109,65324.46375041848
11554,38132.0,0.011263951073357176,22958087.112727717,3826347.852121286
11423,29987.0,0.008857969706198511,18054236.815518886,3009039.4692531475
13064,64.0,1.890519429074948e-05,38532.402580892005,6422.0670968153345
14864,1307.0,0.0003860795146563996,786903.9089566539,131150.65149277565
13036,8680.0,0.0025640169756828983,5225957.100033478,870992.8500055796
11367,41047.0,0.012125023594568655,24713117.63652928,4118852.939421547
11724,3220.0,0.0009511675877533332,1938661.504851129,323110.25080852146
12538,14578.0,0.00430624878703978,8776958.825378807,1462826.4708964678
14031,9392.0,0.0027743372621674865,5654630.078745902,942438.3464576503
10928,4175.0,0.0012332685338106108,2513637.199612877,418939.5332688128
13360,333.0,9.83660890440559e-05,200488.90717870372,33414.817863117285
12852,436.0,0.00012879163610573084,262501.99258232675,43750.33209705446
11725,29150.0,0.008610725212114803,17550305.238015655,2925050.8730026092
