,ID,Station Name,City,State,ZIP,County,latitude_station,longitude_station
121,115178,Parkright 670 W 43rd Street - Tesla Destination,New York,NY,10036,New York,40.7597,-73.9918
143,225478,ARCHER GREEN MI STATION 1,JAMAICA,NY,11433,Queens,40.6969,-73.7877
147,205826,Northeast Bronx YMCA,Bronx,NY,10466,Bronx,40.8904,-73.8503
148,206908,BORO PARK BORO CHARGE 1,Borough Park,NY,11219,Kings,40.6336,-73.996
151,168757,Enterprise Parking 219 E 69th St - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
157,219453,Energy Plus Site 8,New York,NY,10023,New York,40.7764,-73.9827
161,222574,266 13th St,Brooklyn,NY,11215,Kings,40.6669,-73.9828
164,114897,Enterprise 309 Gold Street - Tesla Destination,Brooklyn,NY,11201,Kings,40.694,-73.9903
166,174183,TATABROOKFIELD #6,New York,NY,10044,New York,40.7618,-73.9505
174,223241,550 W. 45th St.,New York,NY,10036,New York,40.7597,-73.9918
181,115042,iPark 200 E 70th Street - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
183,191505,5935 Broadway,Bronx,NY,10463,Bronx,40.8798,-73.9067
185,99500,Nissan of Staten Island,Staten Island,NY,10306,Richmond,40.5682,-74.1184
190,114972,Icon Parking 235 W 48th - Tesla Destination,Manhattan,NY,10036,New York,40.7597,-73.9918
193,115033,Quik Park Hudson 180 LLC - Tesla Destination,New York,NY,10069,New York,40.778,-73.9884
194,116808,59 Allen Street - Tesla Supercharger,New York,NY,10002,New York,40.7152,-73.9877
195,115106,Rapidpark 35 E 75th Street - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
196,205822,Baychester Retail III LLC,Bronx,NY,10475,Bronx,40.8729,-73.8278
197,187883,Gotham Parking,New York,NY,10036,New York,40.7597,-73.9918
206,115195,Rapidpark 920 Park Avenue - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
207,168557,577 Baltic Street - Adam America Real Estate - Tesla Destination,Brooklyn,NY,11217,Kings,40.6816,-73.9798
227,229903,250 Vesey,New York,NY,10281,New York,40.7146,-74.015
233,115128,Icon Parking Sutton 53 - Tesla Destination,New York,NY,10022,New York,40.7571,-73.9657
236,115145,MPG 500 West 30th - Tesla Destination,New York,NY,10001,New York,40.7484,-73.9967
241,115095,Champion Parking W 57th Street - Tesla Destination,New York,NY,10019,New York,40.7651,-73.9858
242,194700,Revel Brooklyn Superhub,Brooklyn,NY,11206,Kings,40.7012,-73.9436
256,115067,iPark NYC 246 E 45 Street - Tesla Destination,New York,NY,10017,New York,40.7517,-73.9707
264,122476,MTP Parking 363 Bond Street - Tesla Destination,Brooklyn,NY,11231,Kings,40.6794,-74.0014
266,189047,Strathmore,New York,NY,10028,New York,40.7763,-73.9529
267,213449,AKAM Associates,Long Island City,NY,11101,Queens,40.7446,-73.9345
269,164680,Icon Parking - Patriot Parking,New York,NY,10013,New York,40.7185,-74.0025
272,150540,One Blue Slip-Greenpoint - Tesla Destination,Brooklyn,NY,11222,Kings,40.7272,-73.9498
276,150660,Icon Parking 515 E 72nd Street - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
282,115133,Quik Park West 23rd Street Garage LLC - Tesla Destination,New York,NY,10011,New York,40.7402,-73.9996
288,150584,PV Parking 34-11 Steinway - Tesla Destination,Astoria,NY,11101,Queens,40.7446,-73.9345
293,144109,CITYLIGHTS QUEENS LANDING,Long Island City,NY,11109,Queens,40.7454,-73.9575
295,114997,iPark 107 West 13th Street - Tesla Destination,New York,NY,10011,New York,40.7402,-73.9996
298,230846,GMC 127 East 83rd,Manhattan,NY,10028,New York,40.7763,-73.9529
315,196565,NYC FLEET DCASCSTHSE_3_L3,Middle Village,NY,11379,Queens,40.7173,-73.8792
320,122487,MTP Parking 31-00 47th Ave - Tesla Destination,Long Island City,NY,11101,Queens,40.7446,-73.9345
323,115010,ABM Parking 13 East 54th Street LLC - Tesla Destination,New York,NY,10022,New York,40.7571,-73.9657
339,114890,Standard Parking 15 Metrotech - Tesla Destination,Brooklyn,NY,11201,Kings,40.694,-73.9903
344,114910,"Littleman Driggs Parking, LLC - Tesla Destination",Brooklyn,NY,11211,Kings,40.7095,-73.9563
345,194169,498 E 67th St,New York,NY,10065,New York,40.7651,-73.9638
346,115161,iPark Eleventh Avenue Garage Corp. - Tesla Destination,New York,NY,10001,New York,40.7484,-73.9967
