,ID,Station Name,City,State,ZIP,County,latitude_station,longitude_station
2867,164751,Carnegie Hill,New York,NY,10128,New York,40.7816,-73.9511
2868,191108,Marriott Lake George,Lake George,NY,12845,Warren,43.4167,-73.6975
2869,174731,HARMONY MILLS 1 WEST 2 2.1,Cohoes,NY,12047,Albany,42.7754,-73.7124
2870,47721,Baron Nissan,Greenvale,NY,11548,Nassau,40.8125,-73.6261
2871,223141,80 Church St,Hoosick Falls,NY,12090,Rensselaer,42.8937,-73.3581
2872,225115,Meadowbrook Apartments W,Slingerlands,NY,12159,Albany,42.6485,-73.8711
2873,142583,Essex County - Courthouse,Elizabethtown,NY,12932,Essex,44.2245,-73.6011
2874,104733,TownePlace Suites - Buffalo Airport,Buffalo,NY,14225,Erie,42.9255,-78.7481
2875,149546,BURNS MGT SCH COMM BLDG 2,Latham,NY,12110,Albany,42.7462,-73.763
2876,180990,CAR CHARGERS NUMBER 434,Jamesville,NY,13078,Onondaga,42.983,-76.0766
2877,220961,BMWHV HV FAST CHARGER,Poughkeepsie,NY,12601,Dutchess,41.7035,-73.9117
2878,150582,IPark 255 Schermerhorn - Tesla Destination,Brooklyn,NY,11217,Kings,40.6816,-73.9798
2879,115008,Rapidpark 124 W 20th Street - Tesla Destination,New York,NY,10011,New York,40.7402,-73.9996
2880,157962,Village of Springville - Municipal Parking Lot,Springville,NY,14141,Erie,42.52,-78.6847
2881,186131,CNDL - E. SYR CANDLEWOOD 1.3,East Syracuse,NY,13057,Onondaga,43.0734,-76.0558
2882,114988,GGMC Parking Union Square Parking Garage - Tesla Destination,New York,NY,10003,New York,40.7313,-73.9892
2883,115224,Ellwanger Estate Bed & Breakfast - Tesla Destination,Rochester,NY,14620,Monroe,43.1317,-77.6062
2884,204667,GHMC PARKINGGARAGE7,Middletown,NY,10940,Orange,41.4512,-74.4701
2885,145534,CT4021-COURTHSE FRANKLINCOCOURT,Malone,NY,12953,Franklin,44.8482,-74.2928
2886,123018,ULSTER COUNTY HALL OF RECORDS,Kingston,NY,12401,Ulster,41.9697,-74.0668
2887,123091,Farmers Market Pavilion,Malone,NY,12953,Franklin,44.8482,-74.2928
2888,162318,LIBRARY 1 HERKIMER,Herkimer,NY,13350,Herkimer,43.0307,-74.9876
2889,217202,MONTANTE SOLAR STATION 2,Buffalo,NY,14209,Erie,42.913,-78.8656
2890,197536,Bellreng Automotive and Towing,Amherst,NY,14226,Erie,42.9744,-78.7949
2891,153417,Queens Crossing - Tesla Supercharger,Flushing,NY,11354,Queens,40.7667,-73.8241
2892,193187,BURNS MGT EMPIRE RUN 4,Saratoga Springs,NY,12866,Saratoga,43.0708,-73.7408
2893,193925,35-1 38th St,Long Island City,NY,11101,Queens,40.7446,-73.9345
2894,225480,ARCHER GREEN MI STATION 2,Jamaica,NY,11433,Queens,40.6969,-73.7877
2895,165111,CONVENTUS CONVENTUS,Buffalo,NY,14203,Erie,42.8939,-78.8681
2896,223297,231 E 94th Street,New York,NY,10128,New York,40.7816,-73.9511
2897,115058,Icon Parking 225 W 83 Street - Tesla Destination,New York,NY,10024,New York,40.7864,-73.9764
2898,230965,Silos at Elk Street,Buffalo,NY,14210,Erie,42.8614,-78.8205
2899,182227,SUNY BUFFALO PARKER 4,Buffalo,NY,14214,Erie,42.9414,-78.8374
2900,188100,HARLEY SCHOOL HARLEY 2,Rochester,NY,14618,Monroe,43.1122,-77.5618
2901,114922,Glenmere Mansion - Tesla Destination,Chester,NY,10918,Orange,41.3554,-74.2651
2902,162165,MASPETH FEDERAL MASPETH 1,Maspeth,NY,11378,Queens,40.7239,-73.8997
2903,229080,Guilderland Town Hall,Altamont,NY,12009,Albany,42.7063,-74.0193
2904,182225,SUNY BUFFALO PARKER 2,Buffalo,NY,14214,Erie,42.9414,-78.8374
2905,162352,ULSTER COUNTY CARR BUILDING,Kingston,NY,12401,Ulster,41.9697,-74.0668
2906,227763,TPWC  TPWC 3,Altamont,NY,12009,Albany,42.7063,-74.0193
2907,211962,WATERLINE 2W STATION 2,New York,NY,10069,New York,40.778,-73.9884
2908,162363,NATIONAL GRID CLARKSON U,Potsdam,NY,13676,St. Lawrence,44.6592,-74.9681
2909,115171,"MTP Parking, The Helena - Tesla Destination",New York,NY,10019,New York,40.7651,-73.9858
2910,162198,NATIONAL GRID VENT CLIFTON,Clifton Park,NY,12065,Saratoga,42.8499,-73.7851
2911,115020,Rapidpark 150 East 77th Street - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
2912,229922,King's County Parking,Brooklyn,NY,11203,Kings,40.6505,-73.9349
2913,225380,MILTON NY STATION 5,Ballston Spa,NY,12020,Saratoga,43.005,-73.8486
2914,171691,ROCHESTER NY COURT ST 1,Rochester,NY,14604,Monroe,43.1577,-77.608
