"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TXRCBUS","197307","306.868","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197308","313.317","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197309","342.204","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197310","448.425","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197311","711.988","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197312","987.464","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197313","8226.051","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197401","1235.945","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197402","1062.873","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197403","912.136","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197404","723.904","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197405","500.171","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197406","369.658","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197407","318.421","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197408","297.214","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197409","341.18","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197410","484.835","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197411","645.39","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197412","1016.87","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197413","7908.596","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197501","1145.426","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197502","1090.754","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197503","997.785","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197504","865.717","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197505","526.079","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197506","368.304","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197507","318.568","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197508","303.802","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197509","341.999","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197510","443.56","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197511","582.293","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197512","1006.009","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197513","7990.296","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197601","1303.69","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197602","1100.921","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197603","895.893","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197604","674.091","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197605","522.575","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197606","403.688","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197607","333.04","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197608","305.673","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197609","336.311","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197610","484.198","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197611","827.672","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197612","1204.077","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197613","8391.829","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197701","1488.04","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197702","1244.153","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197703","869.111","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197704","630.341","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197705","462.08","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197706","365.119","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197707","318.04","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197708","311.161","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197709","330.422","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197710","470.296","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197711","647.249","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197712","1058.283","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197713","8194.297","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197801","1232.305","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197802","1236.943","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197803","1038.126","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197804","675.086","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197805","532.405","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197806","375.832","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197807","325.162","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197808","337.852","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197809","346.006","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197810","470.243","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197811","673.031","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197812","1017.61","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197813","8260.6","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197901","1264.667","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197902","1261.839","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197903","949.668","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197904","685.282","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197905","484.65","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197906","359.452","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197907","314.195","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197908","311.417","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197909","318.485","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197910","437.786","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197911","631.953","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197912","899.959","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197913","7919.353","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198001","1063.204","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198002","1075.443","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198003","926.399","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198004","640.924","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198005","460.466","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198006","356.143","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198007","296.382","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198008","277.249","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198009","300.257","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198010","433.995","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198011","644.357","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198012","964.382","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198013","7439.811","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198101","1192.187","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198102","1001.049","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198103","796.785","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198104","535.409","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198105","424.011","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198106","316.953","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198107","281.742","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198108","276.109","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198109","286.684","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198110","452.926","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198111","598.64","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198112","881.812","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198113","7045.674","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198201","1165.945","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198202","1025.192","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198203","850.443","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198204","683.342","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198205","417.487","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198206","323.654","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198207","283.59","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198208","277.113","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198209","323.867","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198210","406.525","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198211","567.522","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198212","822.372","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198213","7146.964","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198301","1126.919","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198302","906.205","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198303","822.105","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198304","658.629","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198305","446.742","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198306","324.786","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198307","280.856","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198308","280.232","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198309","281.535","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198310","357.347","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198311","521.056","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198312","827.164","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198313","6832.271","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198401","1217.642","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198402","944.75","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198403","878.47","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198404","680.173","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198405","479.534","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198406","337.586","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198407","298.467","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198408","298.541","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198409","312.717","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198410","376.911","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198411","556.191","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198412","831.298","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198413","7211.264","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198501","1061.433","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198502","1120.769","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198503","816.543","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198504","598.168","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198505","395.278","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198506","327.17","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198507","301.608","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198508","301.992","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198509","312.758","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198510","404.569","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198511","543.231","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198512","969.107","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198513","7148.629","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198601","1096.939","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198602","959.474","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198603","835.4","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198604","564.726","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198605","423.511","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198606","315.692","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198607","294.348","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198608","294.801","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198609","302.018","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198610","390.975","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198611","564.304","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198612","865.612","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198613","6906.591","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198701","1034.087","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198702","942.036","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198703","830.043","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198704","603.738","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198705","403.212","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198706","313.497","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198707","297.013","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198708","283.891","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198709","306.302","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198710","449.573","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198711","587.143","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198712","874.267","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198713","6923.82","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198801","1169.925","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198802","1036.19","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198803","863.14","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198804","609.177","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198805","449.797","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198806","322.275","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198807","305.236","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198808","300.467","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198809","310.421","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198810","449.246","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198811","626.228","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198812","915.548","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198813","7357.23","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198901","1049.034","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198902","1011.179","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198903","917.257","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198904","630.575","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198905","452.349","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198906","339.729","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198907","307.04","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198908","315.708","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198909","331.322","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198910","445.034","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198911","650.464","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198912","1122.782","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198913","7571.42","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199001","1019.259","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199002","852.315","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199003","749.89","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199004","571.686","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199005","405.317","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199006","307.172","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199007","272.311","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199008","278.475","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199009","286.261","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199010","385.055","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199011","565.086","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199012","860.83","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199013","6552.526","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199101","1105.406","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199102","871.428","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199103","779.406","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199104","544.552","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199105","382.78","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199106","292.128","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199107","274.458","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199108","265.22","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199109","280.798","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199110","396.624","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199111","659.526","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199112","895.254","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199113","6746.27","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199201","1042.786","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199202","913.852","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199203","789.909","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199204","614.533","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199205","409.088","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199206","310.112","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199207","281.557","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199208","268.044","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199209","303.655","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199210","416.925","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199211","635.285","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199212","964.67","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199213","6949.6","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199301","1068.71","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199302","995.481","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199303","931.355","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199304","632.346","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199305","387.146","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199306","309.46","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199307","277.085","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199308","275.486","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199309","291.183","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199310","400.698","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199311","638.638","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199312","933.702","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199313","7140.541","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199401","1216.717","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199402","1073.82","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199403","839.968","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199404","554.184","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
