,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),Proportion of Energy in Year
213,2010,NY,Total Electric Power Industry,Hydroelectric Conventional,254716970,0.18597685013354176
214,2010,NY,Total Electric Power Industry,Natural Gas,489155450,0.3571477385925845
215,2010,NY,Total Electric Power Industry,Nuclear,418695350,0.305702609286538
216,2010,NY,Total Electric Power Industry,Other,8318510,0.006073605098256188
217,2010,NY,Total Electric Power Industry,Other Biomass,16710900,0.012201152302088875
218,2010,NY,Total Electric Power Industry,Petroleum,20049750,0.014638951425046313
219,2010,NY,Total Electric Power Industry,Pumped Storage,-5292640,-0.003864322491315708
220,2010,NY,Total Electric Power Industry,Wind,25961540,0.01895533475376984
221,2010,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,5473040,0.003996038190368233
222,2011,NY,Total Electric Power Industry,Total,13748034695,1.0
223,2011,NY,Total Electric Power Industry,Coal,942616019,0.06856369218669621
224,2011,NY,Total Electric Power Industry,Hydroelectric Conventional,2799698762,0.20364356245174575
225,2011,NY,Total Electric Power Industry,Natural Gas,5080475485,0.3695419452823835
226,2011,NY,Total Electric Power Industry,Nuclear,426950090,0.031055354417695556
227,2011,NY,Total Electric Power Industry,Other,90518709,0.0065841199130025905
228,2011,NY,Total Electric Power Industry,Other Biomass,161914901,0.01177731250990271
229,2011,NY,Total Electric Power Industry,Petroleum,118948068,0.008652005223936481
230,2011,NY,Total Electric Power Industry,Pumped Storage,-4330210,-0.00031496938261109034
231,2011,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,64430,4.6864880275165756e-06
232,2011,NY,Total Electric Power Industry,Wind,28280690,0.00205707147438938
233,2011,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,44212751,0.0032159324573191295
234,2012,NY,Total Electric Power Industry,Total,1357682440,1.0
235,2012,NY,Total Electric Power Industry,Coal,45510390,0.0335206441942344
236,2012,NY,Total Electric Power Industry,Pumped Storage,-4129450,-0.0030415433523615434
237,2012,NY,Total Electric Power Industry,Hydroelectric Conventional,246524910,0.18157774066813445
238,2012,NY,Total Electric Power Industry,Natural Gas,594622560,0.4379688080815128
239,2012,NY,Total Electric Power Industry,Nuclear,407745600,0.30032472100029517
240,2012,NY,Total Electric Power Industry,Other,9681330,0.00713077647229495
241,2012,NY,Total Electric Power Industry,Petroleum,5802840,0.004274077522870517
242,2012,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,527130,0.00038825721278386717
243,2012,NY,Total Electric Power Industry,Other Biomass,16603510,0.012229303046741916
244,2012,NY,Total Electric Power Industry,Wind,29915770,0.02203443833301696
245,2012,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4877840,0.0035927694549838917
246,2013,NY,Total Electric Power Industry,Total,13611682997,1.0
247,2013,NY,Total Electric Power Industry,Coal,469710474,0.034507891059725945
248,2013,NY,Total Electric Power Industry,Hydroelectric Conventional,2497328928,0.18346951868849787
249,2013,NY,Total Electric Power Industry,Natural Gas,5435438661,0.3993215726665075
250,2013,NY,Total Electric Power Industry,Nuclear,447556060,0.032880288212606835
251,2013,NY,Total Electric Power Industry,Other,88382746,0.006493153419711542
252,2013,NY,Total Electric Power Industry,Other Biomass,167404138,0.012298562788811324
253,2013,NY,Total Electric Power Industry,Petroleum,100737331,0.00740079907989353
254,2013,NY,Total Electric Power Industry,Pumped Storage,-4428680,-0.00032535873785600767
255,2013,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,6701716,0.0004923502847867564
256,2013,NY,Total Electric Power Industry,Wind,35394980,0.0026003382541160422
257,2013,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,60755403,0.004463474723396837
258,2014,NY,Total Electric Power Industry,Total,1370773120,1.0
259,2014,NY,Total Electric Power Industry,Coal,45920540,0.03349973772464987
260,2014,NY,Total Electric Power Industry,Pumped Storage,-4913300,-0.0035843276529962886
261,2014,NY,Total Electric Power Industry,Hydroelectric Conventional,260869020,0.19030794826207273
262,2014,NY,Total Electric Power Industry,Natural Gas,543797590,0.3967086763417129
263,2014,NY,Total Electric Power Industry,Nuclear,430386240,0.3139733583337263
264,2014,NY,Total Electric Power Industry,Other Gases,0,0.0
265,2014,NY,Total Electric Power Industry,Other,8881940,0.0064795113577949355
266,2014,NY,Total Electric Power Industry,Petroleum,21364840,0.015585978225193094
267,2014,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,706160,0.0005151545428611848
268,2014,NY,Total Electric Power Industry,Other Biomass,16687680,0.012173918321363057
269,2014,NY,Total Electric Power Industry,Wind,39684070,0.028950137277276054
270,2014,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,7388340,0.005389907266346162
271,2015,NY,Total Electric Power Industry,Total,1385816860,1.0
272,2015,NY,Total Electric Power Industry,Coal,23800660,0.017174462720853316
273,2015,NY,Total Electric Power Industry,Pumped Storage,-4228120,-0.003050994775745476
274,2015,NY,Total Electric Power Industry,Hydroelectric Conventional,260145200,0.18771975396518123
275,2015,NY,Total Electric Power Industry,Natural Gas,569234150,0.4107571255844008
276,2015,NY,Total Electric Power Industry,Nuclear,446028710,0.3218525642702889
277,2015,NY,Total Electric Power Industry,Other Gases,0,0.0
278,2015,NY,Total Electric Power Industry,Other,8727820,0.006297960612198065
279,2015,NY,Total Electric Power Industry,Petroleum,18922930,0.013654711922035644
280,2015,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,1005260,0.0007253916653893214
281,2015,NY,Total Electric Power Industry,Other Biomass,16247710,0.011724283683487586
282,2015,NY,Total Electric Power Industry,Wind,39769800,0.028697731387104065
283,2015,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,6162740,0.004447008964806504
284,2016,NY,Total Electric Power Industry,Total,1343767150,1.0
285,2016,NY,Total Electric Power Industry,Coal,17702380,0.013173696052921074
286,2016,NY,Total Electric Power Industry,Pumped Storage,-4709320,-0.0035045655045221192
