city_id,ID,Station Name,City,ZIP,County,latitude,longitude,population_density,median_home_value,occupied_housing_units,median_household_income
2604,207789,ESF STATION 5,Syracuse,13210,Onondaga County,43.0354,-76.1282,6046.0,119000.0,8339.0,24591.0
2605,181825,GOLDEN ARROW GOLDEN 1.1,Lake Placid,12946,Essex County,44.2796,-73.982,42.0,248100.0,2409.0,47091.0
2606,153792,Mirabito Convenience Store #69 - Tesla Supercharger,Oneonta,13820,Otsego County,42.4625,-75.0491,209.0,142900.0,7978.0,42345.0
2607,174018,SHELDON SUFFERN ORANGE AV APT 1,Suffern,10901,Rockland County,41.1177,-74.1241,1304.0,416100.0,8873.0,85147.0
2608,227172,CARBONE SUBARU SHOP,Yorkville,13495,Oneida County,43.1116,-75.2756,2457.0,92700.0,967.0,48576.0
2609,193842,SIENA COLLEGE SIENAHALL EVSE1,Albany,12211,Albany County,42.713,-73.7739,1425.0,275600.0,4379.0,95554.0
2610,199473,WHITE PLAINS WP CT4K-1 SALES,Elmsford,10523,Westchester County,41.0572,-73.8136,2063.0,424200.0,2514.0,81667.0
2611,206887,MONTY'S EVSE EVSE1,West Chazy,12992,Clinton County,44.797,-73.5112,75.0,110000.0,1866.0,52888.0
2612,230800,Fernbach Parking Ramp,Buffalo,14202,Erie County,42.887,-78.8779,4710.0,322200.0,1892.0,40525.0
2613,212982,STPETERHOSPITAL EV STATION #7,Albany,12208,Albany County,42.656,-73.7964,4936.0,196600.0,9562.0,58825.0
2614,227673,RTS EMS VISITOR,Rochester,14609,Monroe County,43.174,-77.5637,5870.0,89100.0,17844.0,42123.0
2615,189515,Galleries of Syracuse,Syracuse,13204,Onondaga County,43.0444,-76.1758,4522.0,68800.0,8207.0,26841.0
2616,183223,TSS ALBANY STATIONS 1 & 2,Schenectady,12309,Schenectady County,42.8091,-73.8693,1771.0,230100.0,11926.0,87374.0
2617,44319,Mike Barney Nissan,Amherst,14226,Erie County,42.9744,-78.7949,4233.0,134200.0,12485.0,60545.0
2618,154704,ERIE COUNTY ELMA MEADOWS,Elma,14059,Erie County,42.834,-78.6343,332.0,195300.0,3558.0,75511.0
2619,227690,Clinton County Government Center,Plattsburgh,12901,Clinton County,44.6927,-73.466,440.0,134500.0,13331.0,43010.0
2620,170194,MAIN ST CW MAIN STREET 1,Warrensburg,12885,Warren County,43.5003,-73.792,64.0,151300.0,1935.0,49533.0
2621,180120,854ELLICOTT 854 ELLICOTT 10,Buffalo,14203,Erie County,42.8939,-78.8681,,,,
2622,191254,799 SENECA STATION 15,Buffalo,14210,Erie County,42.8614,-78.8205,4584.0,59200.0,6257.0,32197.0
2623,233386,ALDI - Tesla Supercharger,North Babylon,11703,Suffolk County,40.7321,-73.3236,5261.0,344500.0,5739.0,90872.0
2624,205859,LIN-DAN MORTY,New York,10010,New York County,40.7375,-73.9813,81487.0,746200.0,16556.0,97955.0
2625,214259,TOWN OF MORIAH MORIAHEV1,Port Henry,12974,Essex County,44.0465,-73.4705,199.0,94700.0,707.0,34492.0
2626,225118,535 Carlton Ave,Brooklyn,11238,Kings County,40.679,-73.9644,44555.0,656800.0,22648.0,65315.0
2627,115164,Parkit 575 Washington - Tesla Destination,New York,10014,New York County,40.7339,-74.0054,56119.0,947300.0,19790.0,108483.0
2628,225128,Byron Hotel and Trailhouse,Byron,14422,Genesee County,43.0738,-78.0629,73.0,93800.0,955.0,64286.0
2629,114879,Troutbeck - Tesla Destination,Amenia,12501,Dutchess County,41.8447,-73.5542,80.0,253700.0,962.0,64040.0
2630,53975,Henderson Ford,Webster,14580,Monroe County,43.2196,-77.4616,1188.0,179100.0,20116.0,69189.0
2631,44178,West-Herr Nissan,Orchard Park,14127,Erie County,42.7639,-78.7518,728.0,194500.0,11816.0,77636.0
2632,150541,Bruno's Bakery and Restaurant - Tesla Destination,Staten Island,10310,Richmond County,40.6324,-74.1171,13903.0,414600.0,8361.0,61925.0
2633,114971,Red Roof Inn Malone - Tesla Destination,Malone,12953,Franklin County,44.8482,-74.2928,75.0,91300.0,4781.0,50378.0
2634,94845,Cherry Street Parking Ramp,Jamestown,14701,Chautauqua County,42.0928,-79.244,441.0,70500.0,17097.0,35997.0
2635,99360,Village of Waterville - West Main Street,Waterville,13480,Oneida County,42.9332,-75.3815,66.0,106600.0,1368.0,48512.0
2636,227075,Liland Radiator,East Syracuse,13057,Onondaga County,43.0734,-76.0558,538.0,118200.0,6506.0,55705.0
2637,206914,BORO PARK BORO CHARGE 9,Borough Park,11219,Kings County,40.6336,-73.996,62225.0,726700.0,26177.0,34316.0
2638,190107,GMC Parking Garage - 200 Central,New York,10019,New York County,40.7651,-73.9858,63042.0,808600.0,25905.0,84424.0
2639,115026,Icon Parking 16 W 16th Street - Tesla Destination,New York,10011,New York County,40.7402,-73.9996,77436.0,914500.0,30294.0,104238.0
