City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Gbarnga,6.9956,-9.4722,66.99,99,66,1.5,LR,2022-08-08 02:10:21
132,Muroto,33.2833,134.15,84.63,74,20,8.32,JP,2022-08-08 02:10:21
133,West Wendover,40.7391,-114.0733,81.61,39,0,3.44,US,2022-08-08 02:10:22
134,Upernavik,72.7868,-56.1549,41.61,83,100,5.79,GL,2022-08-08 02:10:22
135,Chapais,49.7834,-74.8492,50.81,67,62,3.31,CA,2022-08-08 02:10:23
136,Peniche,39.3558,-9.3811,62.46,93,0,2.59,PT,2022-08-08 02:10:23
137,Birao,10.2849,22.7882,70.27,97,86,4.12,CF,2022-08-08 02:10:23
138,Half Moon Bay,37.4636,-122.4286,75.61,70,0,18.41,US,2022-08-08 02:10:25
139,Linjiang,41.8069,126.9078,79.25,75,48,4.43,CN,2022-08-08 02:03:23
140,Sibolga,1.7427,98.7792,81.34,72,95,1.1,ID,2022-08-08 02:11:25
141,Cayeli,41.0923,40.7292,73.53,85,8,3.58,TR,2022-08-08 02:11:25
142,Padang,-0.9492,100.3543,82.45,71,10,1.81,ID,2022-08-08 02:11:26
143,Altay,47.8667,88.1167,78.64,30,26,2.42,CN,2022-08-08 02:11:26
144,Deputatskiy,69.3,139.9,50.29,87,100,4.12,RU,2022-08-08 02:11:27
145,Zhuhai,22.2769,113.5678,88.86,89,40,11.5,CN,2022-08-08 02:11:27
146,Port Lincoln,-34.7333,135.8667,55.67,59,0,7.2,AU,2022-08-08 02:11:27
147,Kavaratti,10.5669,72.642,80.37,83,100,24.38,IN,2022-08-08 02:11:28
148,Sardarpur,22.678,74.9484,73.58,96,100,9.17,IN,2022-08-08 02:11:28
149,New Norfolk,-42.7826,147.0587,51.93,48,3,2.17,AU,2022-08-08 02:11:28
150,Tuatapere,-46.1333,167.6833,42.6,67,10,12.59,NZ,2022-08-08 02:11:29
151,Juneau,58.3019,-134.4197,59.22,92,75,6.91,US,2022-08-08 02:11:29
152,Vao,-22.6667,167.4833,71.33,85,8,11.63,NC,2022-08-08 02:11:29
153,Hilo,19.7297,-155.09,85.28,73,0,8.05,US,2022-08-08 02:11:30
154,Poum,-20.2333,164.0167,75.04,78,5,15.41,NC,2022-08-08 02:02:07
155,San Jose,37.3394,-121.895,77.85,59,0,18.41,US,2022-08-08 02:10:39
156,Cadillac,44.2519,-85.4012,72.79,94,100,0.0,US,2022-08-08 02:11:30
157,Ponta Do Sol,32.6667,-17.1,70.72,83,0,3.78,PT,2022-08-08 02:11:31
